Text_ID,Country,Category,Speaker,Date,Title,Source,Word_count,Speech_Type,Downloaded,Preprocessed,Filename,Context
USA_MST_01,US,Mainstream,George W. Bush,02/09/2004,Acceptance speech,https://www.americanrhetoric.com/speeches/PDFFiles/George%20W.%20Bush%20-%20Republican%20Nomination%20Acceptance%202004.pdf,5467,Acceptance,Y,Y,georgewbushacceptance2004.txt,George bush accepting the RNC 2004
USA_MST_02,US,Mainstream,Mitt Romney,30/08/2012,Acceptance speech,https://www.presidency.ucsb.edu/documents/address-accepting-the-presidential-nomination-the-republican-national-convention-tampa,4954,Acceptance,Y,Y,romneyacceptance.txt,Mitt Romney accepting the RNC 2012
USA_MST_03,US,Mainstream,George W. Bush,03/08/2000,Acceptance speech,https://www.presidency.ucsb.edu/documents/address-accepting-the-presidential-nomination-the-republican-national-convention-0,4044,Acceptance,Y,N,bushacceptance2000.txt,George bush accepting the RNC 2000
USA_MST_04,US,Mainstream,Mitt Romney,08/10/2012,Foreign policy speech,https://www.presidency.ucsb.edu/documents/remarks-foreign-policy-the-virginia-military-institute-lexington-virginia-the-mantle,3386,Policy,Y,N,romneyforeignpolicyspeech2012.txt,Mitt Romney speaking about foreign policy 2012
USA_MST_05,US,Mainstream,John McCain,04/09/2008,Acceptance speech,https://www.presidency.ucsb.edu/documents/address-accepting-the-presidential-nomination-the-republican-national-convention-saint,3971,Acceptance,Y,N,mccainacceptance2008.txt,John McCain acceptance speech 2008
USA_MST_06,US,Mainstream,John McCain,26/03/2008,World Affairs Council Foreign Policy Speech,https://www.presidency.ucsb.edu/documents/remarks-the-los-angeles-world-affairs-council,3831,Policy,Y,N,mccainpolicyspeech2008.txt,John McCain policy speech 2008
USA_MST_07,US,Mainstream,Mike Pence,20/07/2016,Acceptance speech,https://historymusings.wordpress.com/2016/07/20/full-text-rnc-day-3-july-20-2016-mike-pences-speech-accepting-vice-presidential-nomination-at-republican-national-convention-in-cleveland/,3005,Acceptance,Y,N,penceacceptance2016.txt,Mike Pence acceptance speech 2016
USA_POP_01,US,Populist,Donald Trump,21/07/2016,Acceptance speech,https://www.presidency.ucsb.edu/documents/address-accepting-the-presidential-nomination-the-republican-national-convention-cleveland,5047,Acceptance,Y,Y,trumpacceptance.txt,Donald Trump accepting the RNC 2016
USA_POP_02,US,Populist,Donald Trump,31/08/2016,Phoenix campaign speech,https://www.presidency.ucsb.edu/documents/remarks-immigration-the-phoenix-convention-center-phoenix-arizona,6859,Campaign,Y,N,trumpphoenixcampaign2016.txt,Donald Trump Phoenix campaign speech 2016
USA_POP_03,US,Populist,Donald Trump,13/10/2016,Palm Beach campaign speech,https://www.presidency.ucsb.edu/documents/remarks-the-south-florida-fair-expo-center-west-palm-beach-florida,2645,Campaign,Y,N,trumppalmbeachcampaign2016.txt,Donald Trump Palm beach campaign speech 2016
