Phrase,Type,Populist_Count,Mainstream_Count,Ratio
joe biden,Populist_Distinctive,30,0,30.0
think that,Populist_Distinctive,24,0,24.0
we got,Populist_Distinctive,44,1,22.0
north carolina,Populist_Distinctive,22,0,22.0
brexit party,Populist_Distinctive,22,0,22.0
the border,Populist_Distinctive,21,0,21.0
it very,Populist_Distinctive,21,0,21.0
what going,Populist_Distinctive,21,0,21.0
think the,Populist_Distinctive,21,0,21.0
the brexit,Populist_Distinctive,21,0,21.0
it great,Populist_Distinctive,20,0,20.0
going on,Populist_Distinctive,20,0,20.0
our jobs,Populist_Distinctive,19,0,19.0
very good,Populist_Distinctive,19,0,19.0
the hell,Populist_Distinctive,19,0,19.0
gonna be,Populist_Distinctive,19,0,19.0
coming in,Populist_Distinctive,19,0,19.0
can you,Populist_Distinctive,18,0,18.0
was going,Populist_Distinctive,18,0,18.0
anything like,Populist_Distinctive,17,0,17.0
care of,Populist_Distinctive,17,0,17.0
ll say,Populist_Distinctive,17,0,17.0
good thing,Populist_Distinctive,16,0,16.0
they wanna,Populist_Distinctive,16,0,16.0
you look,Populist_Distinctive,31,1,15.5
what happening,Populist_Distinctive,15,0,15.0
ladies and,Populist_Distinctive,15,0,15.0
and gentlemen,Populist_Distinctive,15,0,15.0
come in,Populist_Distinctive,15,0,15.0
great job,Populist_Distinctive,30,1,15.0
finish the,Mainstream_Distinctive,0,23,23.0
ve started,Mainstream_Distinctive,0,20,20.0
at home,Mainstream_Distinctive,0,16,16.0
something better,Mainstream_Distinctive,0,16,16.0
hardworking people,Mainstream_Distinctive,0,15,15.0
for britain,Mainstream_Distinctive,1,30,15.0
health care,Mainstream_Distinctive,0,14,14.0
of opportunity,Mainstream_Distinctive,1,28,14.0
that works,Mainstream_Distinctive,0,14,14.0
conservative government,Mainstream_Distinctive,0,14,14.0
economy is,Mainstream_Distinctive,0,13,13.0
and allies,Mainstream_Distinctive,0,13,13.0
children of,Mainstream_Distinctive,0,13,13.0
works for,Mainstream_Distinctive,0,13,13.0
our economy,Mainstream_Distinctive,3,50,12.5
our friends,Mainstream_Distinctive,1,25,12.5
about how,Mainstream_Distinctive,0,12,12.0
an economy,Mainstream_Distinctive,0,12,12.0
global britain,Mainstream_Distinctive,0,12,12.0
our society,Mainstream_Distinctive,0,11,11.0
promise of,Mainstream_Distinctive,0,11,11.0
an american,Mainstream_Distinctive,0,11,11.0
respect the,Mainstream_Distinctive,0,11,11.0
we face,Mainstream_Distinctive,0,11,11.0
small business,Mainstream_Distinctive,0,10,10.0
to offer,Mainstream_Distinctive,0,10,10.0
the promise,Mainstream_Distinctive,0,10,10.0
of war,Mainstream_Distinctive,0,10,10.0
dream of,Mainstream_Distinctive,0,10,10.0
work for,Mainstream_Distinctive,1,20,10.0
